28.11.2022;Stabilirea temei de atestat;▬ ▬ ▬
19.12.2022;Prezentarea 50% din atestat;▬ ▬
13.02.2023;Prezentarea 90% din atestat;▬ ▬
13.03.2023;Finalizarea partii practice;▬ ▬ ▬
17.04.2023;Predarea partii scrise;▬ ▬ ▬
05.05.2023;Sustinerea examenului de atestat;▬ ▬ ▬
